,0
0,6
1,14
2,3
3,3
4,11
5,11
6,11
7,12
8,12
9,14
10,3
11,11
12,8
13,11
14,11
15,11
16,11
17,6
18,2
19,3
20,11
21,5
22,14
23,11
24,11
25,3
26,11
27,14
28,14
29,6
30,11
31,10
32,3
33,11
34,8
35,14
36,12
37,6
38,3
39,3
40,8
41,3
42,2
43,6
44,6
45,11
46,3
47,6
48,2
49,14
50,2
51,14
52,11
53,2
54,6
55,10
56,10
57,14
58,14
59,3
60,11
61,11
62,3
63,3
64,3
65,14
66,12
67,3
68,14
69,3
70,14
71,8
72,6
73,3
74,3
75,11
76,11
77,2
78,14
79,11
80,11
81,11
82,11
83,3
84,6
85,11
86,11
87,6
88,14
89,2
90,11
91,14
92,5
93,12
94,12
95,14
96,11
97,11
98,11
99,14
100,5
101,6
102,12
103,10
104,14
105,14
106,2
107,5
108,11
109,11
110,14
111,6
112,11
113,11
114,5
115,14
116,11
117,11
118,6
119,3
120,14
121,3
122,14
123,14
124,6
125,2
126,11
127,11
128,11
129,2
130,10
131,10
132,2
133,6
134,5
135,5
136,3
137,8
138,11
139,14
140,11
141,12
142,3
143,14
144,3
145,3
146,14
147,14
148,3
149,11
150,11
151,2
152,6
153,2
154,6
155,11
156,14
157,14
158,8
159,3
160,10
161,10
162,11
163,8
164,3
165,11
166,5
167,3
168,14
169,11
170,3
171,2
172,14
173,11
174,10
175,11
176,10
177,14
178,2
179,14
180,6
181,6
182,3
183,2
184,2
185,6
186,11
187,6
188,5
189,2
190,14
191,2
192,3
193,3
194,3
195,6
196,10
197,3
198,8
199,14
200,11
201,6
202,3
203,3
204,10
205,14
206,3
207,3
208,3
209,12
210,2
211,10
212,10
213,3
214,8
215,8
216,2
217,11
218,11
219,6
220,6
221,11
222,10
223,6
224,6
225,6
226,14
227,6
228,14
229,3
230,14
231,12
232,8
233,2
234,11
235,2
236,11
237,3
238,10
239,3
240,14
241,14
242,8
243,6
244,3
245,3
246,11
247,6
248,2
249,6
250,11
251,6
252,11
253,8
254,6
255,11
256,14
257,14
258,14
259,11
260,3
261,11
262,2
263,6
264,14
265,6
266,11
267,3
268,3
269,3
270,8
271,6
272,14
273,14
274,11
275,11
276,11
277,11
278,14
279,11
280,11
281,14
282,14
283,3
284,10
285,8
286,6
287,6
288,10
289,8
290,11
291,11
292,11
293,6
294,3
295,14
296,11
297,8
298,3
299,14
300,11
301,5
302,2
303,3
304,3
305,2
306,6
307,6
308,8
309,11
310,14
311,14
312,11
313,8
314,2
315,11
316,11
317,11
318,10
319,10
320,3
321,11
322,3
323,3
324,11
325,8
326,14
327,2
328,3
329,11
330,3
331,3
332,12
333,11
334,14
335,3
336,14
337,8
338,11
339,14
340,3
341,14
342,11
343,10
344,2
345,3
346,6
347,14
348,3
349,11
350,11
351,11
352,3
353,8
354,3
355,11
356,8
357,12
358,3
359,11
360,3
361,12
362,3
363,3
364,14
365,8
366,11
367,12
368,11
369,10
370,14
371,8
372,8
373,11
374,10
375,8
376,14
377,11
378,2
379,6
380,14
381,3
382,8
383,14
384,2
385,11
386,11
387,8
388,2
389,3
390,3
391,10
392,2
393,2
394,3
395,12
396,8
397,6
398,3
399,3
400,11
401,6
402,11
403,6
404,6
405,2
406,3
407,11
408,11
409,2
410,3
411,14
412,2
413,8
414,11
415,10
416,11
417,3
418,2
419,2
420,11
421,11
422,2
423,6
424,8
425,2
426,3
427,10
428,10
429,6
430,11
431,11
432,3
433,3
434,2
435,14
436,3
437,11
438,2
439,3
440,3
441,14
442,3
443,11
444,3
445,3
446,14
447,3
448,10
449,3
450,11
451,11
452,11
453,11
454,10
455,14
456,8
457,3
458,6
459,12
460,2
461,2
462,3
463,11
464,14
465,2
466,14
467,11
468,14
469,14
470,2
471,6
472,14
473,6
474,11
475,14
476,11
477,3
478,2
479,3
480,14
481,11
482,3
483,6
484,14
485,11
486,8
487,8
488,14
489,6
490,14
491,10
492,8
493,3
494,11
495,3
496,3
497,3
498,3
499,14
500,3
501,11
502,12
503,3
504,2
505,14
506,2
507,3
508,3
509,11
510,11
511,5
512,2
513,3
514,12
515,2
516,2
517,14
518,14
519,12
520,14
521,8
522,11
523,6
524,11
525,14
526,14
527,6
528,14
529,11
530,2
531,10
532,2
533,11
534,12
535,6
536,3
537,12
538,11
539,12
540,6
541,2
542,3
543,11
544,14
545,11
546,2
547,6
548,14
549,11
550,11
551,11
552,11
553,8
554,3
555,11
556,11
557,11
558,11
559,6
560,14
561,3
562,3
563,3
564,11
565,11
566,14
567,3
568,14
569,12
570,3
571,14
572,2
573,14
574,8
575,11
576,3
577,11
578,11
579,3
580,3
581,10
582,11
583,8
584,3
585,3
586,11
587,12
588,10
589,8
590,8
591,11
592,6
593,12
594,11
595,14
596,3
597,14
598,14
599,3
600,2
601,3
602,2
603,2
604,6
605,11
606,11
607,11
608,3
609,11
610,3
611,2
612,6
613,3
614,3
615,11
616,3
617,3
618,11
619,2
620,11
621,3
622,14
623,14
624,3
625,6
626,3
627,2
628,2
629,3
630,14
631,10
632,14
633,10
634,10
635,11
636,2
637,14
638,11
639,3
640,11
641,10
642,14
643,14
644,14
645,3
646,12
647,3
648,11
649,11
650,10
651,12
652,14
653,11
654,14
655,3
656,3
657,6
658,6
659,3
660,8
661,3
662,14
663,2
664,6
665,2
666,11
667,6
668,6
669,8
670,14
671,3
672,6
673,14
674,11
675,11
676,5
677,11
678,6
679,8
680,6
681,3
682,12
683,2
684,6
685,2
686,11
687,11
688,14
689,11
690,2
691,6
692,11
693,10
694,11
695,14
696,11
697,14
698,2
699,11
700,12
701,2
702,11
703,14
704,6
705,8
706,6
707,3
708,8
709,11
710,2
711,8
712,8
713,10
714,3
715,3
716,2
717,2
718,2
719,3
720,2
721,14
722,12
723,11
724,3
725,3
726,11
727,11
728,12
729,3
730,12
731,14
732,3
733,8
734,2
735,14
736,14
737,10
738,8
739,11
740,3
741,11
742,6
743,14
744,14
745,11
746,3
747,6
748,3
749,11
750,5
751,14
752,11
753,6
754,14
755,6
756,2
757,11
758,8
759,2
760,6
761,3
762,10
763,11
764,6
765,12
766,14
767,6
768,12
769,11
770,2
771,14
772,3
773,3
774,3
775,11
776,3
777,10
778,3
779,3
780,14
781,11
782,11
783,11
784,11
785,3
786,2
787,12
788,3
789,6
790,11
791,11
792,3
793,14
794,3
795,3
796,8
797,10
798,11
799,11
800,11
801,11
802,11
803,14
804,11
805,2
806,14
807,12
808,11
809,11
810,3
811,8
812,6
813,12
814,11
815,12
816,10
817,10
818,14
819,12
820,10
821,14
822,3
823,10
824,6
825,12
826,14
827,2
828,6
829,14
830,2
831,3
832,3
833,11
834,6
835,11
836,11
837,12
838,3
839,2
840,12
841,2
842,3
843,3
844,6
845,3
846,11
847,3
848,11
849,8
850,11
851,11
852,2
853,10
854,8
855,3
856,10
857,2
858,2
859,3
860,3
861,11
862,11
863,3
864,3
865,6
866,3
867,14
868,10
869,11
870,10
871,3
872,3
873,3
874,8
875,10
876,2
877,3
878,10
879,3
880,12
881,11
882,3
883,3
884,11
885,3
886,14
887,2
888,11
889,6
890,11
891,6
892,6
893,8
894,3
895,6
896,11
897,10
898,6
899,8
900,11
901,14
902,2
903,11
904,3
905,3
906,11
907,11
908,14
909,8
910,14
911,8
912,3
913,14
914,11
915,11
916,3
917,10
918,12
919,11
920,11
921,3
922,6
923,10
924,2
925,11
926,8
927,11
928,11
929,3
930,3
931,14
932,12
933,6
934,6
935,11
936,11
937,10
938,11
939,10
940,6
941,6
942,8
943,3
944,2
945,14
946,11
947,11
948,2
949,11
950,8
951,11
952,11
953,8
954,2
955,3
956,8
957,3
958,2
959,2
960,3
961,8
962,3
963,11
964,3
965,3
966,3
967,14
968,11
969,3
970,11
971,14
972,5
973,12
974,6
975,3
976,11
977,14
978,11
979,11
980,11
981,11
982,3
983,6
984,11
985,11
986,11
987,2
988,6
989,6
990,11
991,12
992,3
993,3
994,2
995,3
996,3
997,11
998,11
999,11
1000,11
1001,14
1002,11
1003,8
1004,3
1005,3
1006,14
1007,3
1008,8
1009,3
1010,3
1011,3
1012,14
1013,5
1014,3
1015,11
1016,3
1017,11
1018,11
1019,11
1020,11
1021,14
1022,14
1023,14
1024,10
1025,14
1026,6
1027,14
1028,11
1029,11
1030,10
1031,3
1032,14
1033,11
1034,3
1035,3
1036,2
1037,10
1038,14
1039,2
1040,10
1041,11
1042,2
1043,6
1044,14
1045,12
1046,2
1047,8
1048,2
1049,11
1050,11
1051,11
1052,12
1053,11
1054,6
1055,3
1056,3
1057,11
1058,3
1059,8
1060,3
1061,2
1062,11
1063,14
1064,14
1065,3
1066,3
1067,11
1068,3
1069,8
1070,11
1071,6
1072,11
1073,14
1074,14
1075,6
1076,6
1077,11
1078,11
1079,11
1080,2
1081,3
1082,2
1083,11
1084,3
1085,11
1086,3
1087,11
1088,14
1089,11
1090,11
1091,11
1092,3
1093,11
1094,14
1095,2
1096,12
1097,12
1098,14
1099,14
1100,14
1101,6
1102,11
1103,3
1104,5
1105,11
1106,11
1107,3
1108,6
1109,2
1110,3
1111,11
1112,11
1113,14
1114,11
1115,2
1116,3
1117,11
1118,2
1119,14
1120,11
1121,11
1122,10
1123,14
1124,2
1125,8
1126,11
1127,11
1128,2
1129,3
1130,3
1131,2
1132,14
1133,11
1134,3
1135,5
1136,14
1137,2
1138,12
1139,2
1140,14
1141,3
1142,3
1143,14
1144,11
1145,11
1146,11
1147,3
1148,11
1149,6
1150,11
1151,3
1152,2
1153,14
1154,11
1155,2
1156,2
1157,10
1158,2
1159,10
1160,11
1161,10
1162,6
1163,14
1164,6
1165,3
1166,3
1167,14
1168,8
1169,3
1170,11
1171,3
1172,2
1173,3
1174,2
1175,14
1176,3
1177,3
1178,14
1179,2
1180,11
1181,14
1182,2
1183,6
1184,12
1185,12
1186,14
1187,11
1188,11
1189,8
1190,3
1191,6
1192,2
1193,3
1194,14
1195,11
1196,14
1197,10
1198,12
1199,14
1200,2
1201,2
1202,12
1203,8
1204,11
1205,3
1206,6
1207,3
1208,8
1209,3
1210,3
1211,11
1212,11
1213,3
1214,12
1215,2
1216,6
1217,8
1218,11
1219,11
1220,2
1221,5
1222,3
1223,11
1224,14
1225,5
1226,3
1227,14
1228,11
1229,3
1230,6
1231,11
1232,14
1233,11
1234,3
1235,6
1236,8
1237,11
1238,11
1239,3
1240,14
1241,12
1242,3
1243,3
1244,3
1245,11
1246,2
1247,8
1248,3
1249,3
1250,2
1251,10
1252,2
1253,10
1254,2
1255,3
1256,11
1257,2
1258,11
1259,6
1260,11
1261,10
1262,2
1263,14
1264,6
1265,11
1266,11
1267,11
1268,14
1269,3
1270,3
1271,3
1272,2
1273,11
1274,8
1275,2
1276,6
1277,11
1278,6
1279,11
1280,8
1281,11
1282,8
1283,11
1284,11
1285,6
1286,12
1287,14
1288,12
1289,8
1290,2
1291,3
1292,6
1293,3
1294,12
1295,14
1296,14
1297,10
1298,11
1299,2
1300,14
1301,11
1302,11
1303,11
1304,11
1305,14
1306,14
1307,14
1308,2
1309,14
1310,14
1311,14
1312,2
1313,11
1314,2
1315,10
1316,11
1317,3
1318,2
1319,11
1320,8
1321,12
1322,2
1323,11
1324,11
1325,14
1326,14
1327,2
1328,14
1329,5
1330,14
1331,3
1332,3
1333,3
1334,3
1335,11
1336,11
1337,5
1338,3
1339,14
1340,6
1341,11
1342,11
1343,3
1344,14
1345,11
1346,2
1347,14
1348,11
1349,3
1350,11
1351,14
1352,3
1353,11
1354,11
1355,2
1356,5
1357,10
1358,14
1359,3
1360,3
1361,10
1362,11
1363,11
1364,2
1365,14
1366,12
1367,12
1368,11
1369,3
1370,2
1371,3
1372,11
1373,6
1374,8
1375,2
1376,6
1377,3
1378,14
1379,11
1380,3
1381,14
1382,11
1383,14
1384,2
1385,11
1386,11
1387,3
1388,11
1389,3
1390,14
1391,14
1392,6
1393,5
1394,11
1395,11
1396,3
1397,3
1398,3
1399,6
1400,11
1401,2
1402,12
1403,6
1404,3
1405,14
1406,3
1407,11
1408,14
1409,11
1410,3
1411,11
1412,2
1413,14
1414,14
1415,14
1416,11
1417,11
1418,2
1419,3
1420,2
1421,3
1422,2
1423,14
1424,14
1425,11
1426,11
1427,11
1428,14
1429,3
1430,2
1431,10
1432,8
1433,14
1434,11
1435,14
1436,2
1437,8
1438,6
1439,11
1440,11
1441,2
1442,11
1443,3
1444,3
1445,11
1446,11
1447,14
1448,14
1449,2
1450,3
1451,2
1452,10
1453,14
1454,14
1455,14
1456,6
1457,12
1458,2
1459,8
1460,14
1461,11
1462,11
1463,14
1464,2
1465,3
1466,14
1467,3
1468,3
1469,14
1470,11
1471,3
1472,11
1473,2
1474,14
1475,6
1476,6
1477,8
1478,2
1479,11
1480,14
1481,2
1482,3
1483,3
1484,3
1485,11
1486,3
1487,11
